,id,rank,Country,Continent,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalTests,Deaths_1M_pop
159,1e9e5a58-50c9-4ff6-988d-2b7cdc2ae9c2,159,Isle of Man,Europe,0.3,175.37,71.08,150753,1326.0
160,10f44464-c1a6-4339-b9a7-cc76ca8596d2,160,Tanzania,Africa,2.24,0.0,0.0,0,13.0
161,110c186f-54e9-4114-8646-c55536cbf62c,161,Guinea,Africa,1.19,4.76,97.36,660107,32.0
162,26a055d8-a99d-4f17-9698-7ec229f92804,162,Bahamas,North America,2.24,60.2,96.18,241422,2050.0
163,2cd14646-419f-420e-83f3-004a8647ec65,163,Faeroe Islands,Europe,0.08,1579.76,0.0,778000,569.0
164,a5a50324-b8db-40ce-9a38-8c9f42b2257d,164,Lesotho,Africa,2.06,19.8,70.96,431221,322.0
165,fe9ceb47-3198-44a6-977f-ad8a1c678ed7,165,Haiti,North America,2.6,1.13,92.89,132422,72.0
166,3333f6e7-a25a-4047-89f1-54968028405f,166,Mali,Africa,2.37,3.34,97.34,717586,34.0
167,1004b1bb-30c2-49d2-b341-8a07c3fdcf99,167,Cayman Islands,North America,0.1,330.91,29.71,222773,431.0
168,cdb788e9-dee2-4809-993f-421c2223ef13,168,Saint Lucia,North America,1.38,113.14,97.69,209716,2077.0
169,e2155710-14d8-4ee2-87c2-7d46c3ac1ef8,169,Benin,Africa,0.6,4.73,93.37,604310,13.0
170,ecade240-f4b1-4d06-b965-d48fa3c4486b,170,Somalia,Africa,5.01,2.38,48.9,400466,80.0
171,c149304f-2523-4a3e-bc83-3d34d9c222e2,171,Congo,Africa,1.56,6.0,81.45,347815,67.0
172,3bf85af0-0824-456e-b402-e67770e0d954,172,Timor-Leste,Asia,0.58,19.84,99.37,271855,97.0
173,eb3c622c-4e09-4e76-9f62-5986ec532511,173,Solomon Islands,Australia/Oceania,0.71,0.71,75.92,5117,212.0
174,2777760e-308e-4b64-ae2a-32861952ca58,174,Burkina Faso,Africa,1.83,1.13,96.74,248995,18.0
175,8862c06a-6b2a-43dd-b0e7-65fa2c6adaac,175,Gibraltar,Europe,0.53,1586.82,83.3,534283,3119.0
176,2e666397-1a93-4e38-a782-be34d6ea78b7,176,San Marino,Europe,0.6,462.55,97.66,157634,3463.0
177,759b83e8-7188-4a7f-9cc9-d580187ac7ba,177,Grenada,North America,1.25,153.2,98.26,174037,2060.0
178,f23e58f6-ff0e-4fac-ac2f-a82c51b41d30,178,Liechtenstein,Europe,0.46,266.39,98.33,102174,2242.0
179,a5595bac-dc78-412d-b4d6-a3dec5f10cff,179,Nicaragua,North America,1.22,0.0,22.85,0,33.0
180,ade1dd49-6935-41ea-9387-173c6fabbdf2,180,Tajikistan,Asia,0.7,0.0,97.07,0,13.0
181,6b5f4ee7-4e90-42ac-9490-5a8052f01697,181,South Sudan,Africa,0.78,3.58,88.14,410280,12.0
182,113949e6-d893-4803-9e79-ed404b7ef8f2,182,Bermuda,North America,0.84,1564.56,97.63,966915,2330.0
183,bec0723e-b568-405c-aa9d-79c25dc00bc9,183,Equatorial Guinea,Africa,1.09,23.8,98.0,356575,122.0
184,c830054b-710d-4310-8c0f-d3f68bdb773c,184,Djibouti,Africa,1.2,30.06,98.32,305941,186.0
185,a24e99b5-d592-437a-bbeb-eb19bdfbc803,185,Samoa,Australia/Oceania,0.19,87.27,10.44,175532,144.0
186,17833c0d-21d8-4fa8-9744-2c39c541867f,186,Dominica,North America,0.46,290.5,97.99,210195,940.0
187,5af2bc78-d5a6-4ba3-892b-a5e804f50f1c,187,CAR,Africa,0.77,1.62,46.46,81294,23.0
188,cd8aca67-cf0e-4935-ba90-40fbeba12f31,188,Monaco,Europe,0.41,195.31,98.59,77770,1431.0
189,d310d75e-c9d9-4175-bfe9-77a72865fbb0,190,Gambia,Africa,3.05,6.09,95.97,155686,144.0
190,10c001f9-5d62-4525-bfae-70dbdd7493d9,191,Greenland,North America,0.18,289.48,23.06,164926,369.0
191,7571007a-00f6-4500-bb60-f4fefbd4e388,192,Yemen,Asia,18.11,0.85,76.76,265253,69.0
192,2223fb5d-b4b7-44f6-a006-ade92c817990,193,Vanuatu,Australia/Oceania,0.12,7.76,99.56,24976,43.0
193,e874ebf4-8dc3-4430-8cee-7188fe21b727,194,Saint Martin,North America,0.55,280.72,12.13,112382,1574.0
194,7c640202-55e5-4657-9891-f36fc57df35b,195,Caribbean Netherlands,North America,0.32,112.71,96.98,30126,1309.0
195,e5f66c08-7ee3-42ef-8794-bc5893959c2d,196,Sint Maarten,North America,0.81,141.41,98.97,62056,1982.0
196,73a44b22-4103-4219-abf6-6a9052c5a6ea,197,Eritrea,Africa,1.03,0.65,97.66,23693,28.0
197,ff4865bd-4235-44b3-89a7-d5780521117c,198,Niger,Africa,3.42,0.98,94.77,254538,12.0
198,a9022093-264b-4ef7-8040-1af903412df3,199,Antigua and Barbuda,North America,1.64,18.98,97.99,18901,1446.0
199,1a7c2436-654a-4ee5-b441-c5ecca24cdb3,200,Guinea-Bissau,Africa,2.04,7.03,97.04,145231,83.0
200,1ab1822a-8b0c-42bd-afe6-fb7e43d89d69,201,Comoros,Africa,1.92,0.0,95.41,0,176.0
201,efc676e5-a2c5-4d3b-9572-257b5e001d39,202,Sierra Leone,Africa,1.62,3.13,0.0,259958,15.0
202,66685d8a-d2f8-45e9-b5b5-047535dbb566,203,Liberia,Africa,3.9,2.64,76.24,139824,55.0
203,eb98badf-bb25-4255-89eb-930e5be74222,204,Chad,Africa,2.6,1.1,65.58,191341,11.0
204,f4a6f24f-8b9a-4f70-b7f0-3c1a3cbdfbff,205,British Virgin Islands,North America,0.88,345.18,0.0,105790,2056.0
205,8ea1486d-6647-4b7c-835e-a2788a6a5b7b,206,St. Vincent Grenadines,North America,1.62,90.15,93.71,100667,1030.0
206,6bcba3d3-d887-47d5-bdcd-7282cf91cc1e,207,Saint Kitts and Nevis,North America,0.71,200.12,98.4,108021,852.0
207,acee9dc8-0b7d-4eb7-9f1a-5e682db302ae,208,Turks and Caicos,North America,0.57,1379.15,98.94,548945,904.0
208,85061c40-883d-44e2-9a50-c6c0b5de2a54,209,Sao Tome and Principe,Africa,1.21,12.76,98.52,29036,325.0
209,399cc203-6843-4a31-b599-5fe5a0365cb6,212,St. Barth,North America,0.12,791.29,0.0,78646,604.0
210,834d4b30-7863-48af-bee8-54b606081edf,215,Anguilla,North America,0.28,336.25,99.02,51382,654.0
211,f3f7c897-e88f-426f-b804-efc3ea76a20c,217,Saint Pierre Miquelon,North America,0.03,431.54,79.44,24749,174.0
212,ec87cb7a-533c-4ed1-a2bd-7eb05549f552,218,Falkland Islands,South America,0.0,233.93,0.0,8632,0.0
213,563abe42-b4b2-4102-81a5-e65bcd3b8faa,219,Montserrat,North America,0.76,301.6,97.53,15074,1601.0
214,4f5de98a-49e3-4394-9534-b4b0c800ff96,220,Macao,Asia,0.76,1.18,84.2,7850,9.0
215,f2e9f8ce-c9cd-4ba0-bebe-bb0a853870c3,221,Wallis and Futuna,Australia/Oceania,0.92,189.33,57.56,20508,646.0
216,b230d5ca-c30a-4d22-814e-53ceccfb8364,222,Diamond Princess,,1.83,0.0,98.17,0,0.0
217,4088c3ae-7003-40cf-971a-8db0325a24a0,223,Marshall Islands,Australia/Oceania,0.0,0.0,89.06,0,0.0
218,f4fd07f5-e786-4153-bafe-7b35194a7eef,225,Vatican City,Europe,0.0,0.0,100.0,0,0.0
219,98a06a3a-311a-445f-9caf-3b967e1ffef5,226,Western Sahara,Africa,10.0,0.0,90.0,0,2.0
220,fa63e305-e10f-4b5d-a400-2edd6dcab0f4,227,MS Zaandam,,22.22,0.0,77.78,0,0.0
221,eb9b3fbc-6738-4a35-a943-42a0e05ea149,230,China,Asia,2.28,11.12,96.97,160000000,4.0
